Entity,year,GDP
Australia,2015,"52,131"
Austria,2015,"43,995"
Azerbaijan,2015,"5,516"
Bahamas,2015,"31,776"
Bahrain,2015,"22,634"
Bangladesh,2015,"1,245"
Barbados,2015,"16,525"
Belarus,2015,"5,981"
Belgium,2015,"40,942"
Belize,2015,"4,805"
Benin,2015,"1,076"
Bermuda,2015,"1,04,480"
Bhutan,2015,"2,753"
Bolivia (Plurin. State of),2015,"3,036"
Bosnia and Herzegovina,2015,"4,727"
Botswana,2015,"6,800"
Brazil,2015,"8,814"
British Virgin Islands,2015,"43,878"
Brunei Darussalam,2015,"31,164"
Bulgaria,2015,"7,053"
Burkina Faso,2015,653
Burundi,2015,277
Cabo Verde,2015,"3,042"
Cambodia,2015,"1,163"
Cameroon,2015,"1,326"
Canada,2015,"43,194"
Cayman Islands,2015,"77,518"
Central African Republic,2015,377
Chad,2015,828
Chile,2015,"13,574"
China,2015,"7,863"
"China, Hong Kong SAR",2015,"43,054"
"China, Macao SAR",2015,"74,841"
Colombia,2015,"6,176"
Comoros,2015,"1,242"
Congo,2015,"2,420"
Cook Islands,2015,"17,183"
Costa Rica,2015,"11,643"
Côte d’Ivoire,2015,"1,971"
Croatia,2015,"11,851"
Cuba,2015,"7,700"
Curaçao,2015,"19,718"
Cyprus,2015,"23,398"
Czechia,2015,"17,737"
Dem. People's Rep. Korea,2015,650
Dem. Rep. of the Congo,2015,497
Denmark,2015,"53,206"
Djibouti,2015,"2,676"
Dominica,2015,"7,596"
Dominican Republic,2015,"6,921"
Ecuador,2015,"6,124"
Egypt,2015,"3,437"
El Salvador,2015,"3,706"
Equatorial Guinea,2015,"11,275"
Eritrea,2015,602
Estonia,2015,"17,396"
Eswatini,2015,"3,676"
Ethiopia,2015,626
Fiji,2015,"5,391"
Finland,2015,"42,772"
France,2015,"36,612"
French Polynesia,2015,"19,492"
Gabon,2015,"7,379"
Gambia,2015,661
Georgia,2015,"3,716"
Germany,2015,"41,036"
Ghana,2015,"1,797"
Greece,2015,"18,350"
Greenland,2015,"44,329"
Grenada,2015,"9,097"
Guatemala,2015,"3,826"
Guinea,2015,769
Guinea-Bissau,2015,603
Guyana,2015,"5,577"
Haiti,2015,"1,330"
Honduras,2015,"2,302"
Hungary,2015,"12,805"
Iceland,2015,"53,043"
India,2015,"1,639"
Indonesia,2015,"3,332"
Iran (Islamic Republic of),2015,"5,315"
Iraq,2015,"4,688"
Ireland,2015,"62,648"
Israel,2015,"37,611"
Italy,2015,"30,306"
Jamaica,2015,"4,911"
Japan,2015,"34,730"
Jordan,2015,"4,164"
Kazakhstan,2015,"10,493"
Kenya,2015,"1,465"
Kiribati,2015,"1,535"
Kosovo,2015,"3,533"
Kuwait,2015,"29,874"
Kyrgyzstan,2015,"1,121"
Lao People's Dem. Rep.,2015,"2,135"
Latvia,2015,"13,642"
Lebanon,2015,"7,664"
Lesotho,2015,"1,146"
Liberia,2015,597
Libya,2015,"7,560"
Liechtenstein,2015,"1,67,294"
Lithuania,2015,"14,127"
Luxembourg,2015,"1,05,952"
Madagascar,2015,467
Malawi,2015,491
Malaysia,2015,"9,955"
Maldives,2015,"9,033"
Mali,2015,751
Malta,2015,"25,572"
Marshall Islands,2015,"3,208"
Mauritania,2015,"1,524"
Mauritius,2015,"9,284"
Mexico,2015,"9,617"
Micronesia (Fed. States of),2015,"2,906"
Monaco,2015,"1,65,945"
Mongolia,2015,"3,919"
Montenegro,2015,"6,465"
Montserrat,2015,"12,349"
Morocco,2015,"2,919"
Mozambique,2015,590
Myanmar,2015,"1,212"
Namibia,2015,"4,897"
Nauru,2015,"10,050"
Nepal,2015,876
Netherlands,2015,"45,179"
New Caledonia,2015,"32,224"
New Zealand,2015,"38,588"
Nicaragua,2015,"2,050"
Niger,2015,484
Nigeria,2015,"2,730"
North Macedonia,2015,"4,840"
Norway,2015,"74,195"
Oman,2015,"16,029"
Pakistan,2015,"1,339"
Palau,2015,"15,784"
Panama,2015,"13,630"
Papua New Guinea,2015,"2,679"
Paraguay,2015,"5,414"
Peru,2015,"6,229"
Philippines,2015,"3,001"
Poland,2015,"12,563"
Portugal,2015,"19,223"
Puerto Rico,2015,"30,571"
Qatar,2015,"63,039"
South Korea,2015,"28,841"
Republic of Moldova,2015,"1,903"
Romania,2015,"8,920"
Russia,2015,"9,404"
Rwanda,2015,750
Saint Kitts and Nevis,2015,"18,029"
Saint Lucia,2015,"10,104"
Saint Vincent & Grenadines,2015,"6,921"
Samoa,2015,"4,066"
San Marino,2015,"42,643"
Sao Tome and Principe,2015,"1,596"
Saudi Arabia,2015,"20,628"
Senegal,2015,"1,218"
Serbia,2015,"5,589"
Seychelles,2015,"14,503"
Sierra Leone,2015,592
Singapore,2015,"55,077"
Sint Maarten (Dutch part),2015,"26,682"
Slovakia,2015,"16,300"
Slovenia,2015,"20,804"
Solomon Islands,2015,"2,167"
Somalia,2015,105
South Africa,2015,"5,731"
South Sudan,2015,581
Spain,2015,"25,607"
Sri Lanka,2015,"3,855"
State of Palestine,2015,"3,085"
Sudan,2015,"2,158"
Suriname,2015,"9,168"
Sweden,2015,"51,726"
Switzerland,2015,"84,629"
Syrian Arab Republic,2015,"1,109"
Tajikistan,2015,978
Thailand,2015,"5,840"
Timor-Leste,2015,"1,333"
Togo,2015,730
Tonga,2015,"4,001"
Trinidad and Tobago,2015,"18,384"
Tunisia,2015,"3,862"
Türkiye,2015,"11,006"
Turkmenistan,2015,"6,478"
Turks and Caicos Islands,2015,"26,182"
Tuvalu,2015,"3,261"
Uganda,2015,766
Ukraine,2015,"2,026"
United Arab Emirates,2015,"38,663"
United Kingdom,2015,"44,892"
United Rep. of Tanzania,2015,947
United States,2015,"56,738"
Uruguay,2015,"16,729"
Uzbekistan,2015,"2,646"
Vanuatu,2015,"2,802"
Venezuela (Boliv. Rep. of),2015,"11,447"
Vietnam,2015,"2,085"
Yemen,2015,"1,006"
Zambia,2015,"1,314"
Zanzibar,2015,821
Zimbabwe,2015,"1,445"
"Total, all countries or areas",2020,"10,949"
Africa,2020,"1,804"
Northern Africa,2020,"3,103"
Sub-Saharan Africa,2020,"1,512"
Eastern Africa,2020,972
Middle Africa,2020,"1,095"
Southern Africa,2020,"4,959"
Western Africa,2020,"1,715"
Americas,2020,"26,575"
Northern America,2020,"61,130"
Latin America & the Caribbean,2020,"7,047"
Caribbean,2020,"8,822"
Central America,2020,"7,392"
South America,2020,"6,727"
Asia,2020,"7,126"
Central Asia,2020,"3,866"
Eastern Asia,2020,"13,403"
South-eastern Asia,2020,"4,484"
Southern Asia,2020,"2,232"
Western Asia,2020,"10,614"
Europe,2020,"28,031"
Eastern Europe,2020,"10,692"
Northern Europe,2020,"45,889"
Southern Europe,2020,"25,171"
Western Europe,2020,"46,298"
Oceania,2020,"39,743"
Australia and New Zealand,2020,"53,938"
Melanesia,2020,"3,616"
Micronesia,2020,"3,803"
Polynesia,2020,"12,074"
Afghanistan,2020,508
Albania,2020,"5,181"
Algeria,2020,"3,368"
Andorra,2020,"37,072"
Angola,2020,"1,896"
Anguilla,2020,"17,226"
Antigua and Barbuda,2020,"13,993"
Argentina,2020,"8,476"
Armenia,2020,"4,266"
Aruba,2020,"23,386"
Australia,2020,"55,823"
Austria,2020,"48,106"
Azerbaijan,2020,"4,202"
Bahamas,2020,"25,194"
Bahrain,2020,"19,925"
Bangladesh,2020,"2,001"
Barbados,2020,"15,449"
Belarus,2020,"6,377"
Belgium,2020,"45,028"
Belize,2020,"3,988"
Benin,2020,"1,254"
Bermuda,2020,"1,23,945"
Bhutan,2020,"3,218"
Bolivia (Plurin. State of),2020,"3,133"
Bosnia and Herzegovina,2020,"6,035"
Botswana,2020,"6,711"
Brazil,2020,"6,797"
British Virgin Islands,2020,"49,357"
Brunei Darussalam,2020,"27,437"
Bulgaria,2020,"10,058"
Burkina Faso,2020,831
Burundi,2020,286
Cabo Verde,2020,"3,064"
Cambodia,2020,"1,513"
Cameroon,2020,"1,502"
Canada,2020,"43,560"
Cayman Islands,2020,"95,191"
Central African Republic,2020,481
Chad,2020,679
Chile,2020,"13,232"
China,2020,"10,229"
"China, Hong Kong SAR",2020,"46,611"
"China, Macao SAR",2020,"37,474"
Colombia,2020,"5,333"
Comoros,2020,"1,421"
Congo,2020,"1,830"
Cook Islands,2020,"16,135"
Costa Rica,2020,"12,077"
Côte d’Ivoire,2020,"2,318"
Croatia,2020,"13,934"
Cuba,2020,"9,478"
Curaçao,2020,"15,819"
Cyprus,2020,"28,133"
Czechia,2020,"22,911"
Dem. People's Rep. Korea,2020,618
Dem. Rep. of the Congo,2020,506
Denmark,2020,"61,477"
Djibouti,2020,"3,465"
Dominica,2020,"7,038"
Dominican Republic,2020,"7,268"
Ecuador,2020,"5,600"
Egypt,2020,"3,609"
El Salvador,2020,"3,799"
Equatorial Guinea,2020,"7,143"
Eritrea,2020,588
Estonia,2020,"23,106"
Eswatini,2020,"3,306"
Ethiopia,2020,840
Fiji,2020,"5,013"
Finland,2020,"48,685"
France,2020,"38,959"
French Polynesia,2020,"20,707"
Gabon,2020,"6,789"
Gambia,2020,757
Georgia,2020,"3,984"
Germany,2020,"45,909"
Ghana,2020,"2,206"
Greece,2020,"18,117"
Greenland,2020,"55,139"
Grenada,2020,"9,273"
Guatemala,2020,"4,332"
Guinea,2020,"1,179"
Guinea-Bissau,2020,668
Guyana,2020,"6,956"
Haiti,2020,"1,360"
Honduras,2020,"2,406"
Hungary,2020,"16,129"
Iceland,2020,"63,644"
India,2020,"1,931"
Indonesia,2020,"3,870"
Iran (Islamic Republic of),2020,"11,183"
Iraq,2020,"4,146"
Ireland,2020,"86,251"
Israel,2020,"47,034"
Italy,2020,"31,238"
Jamaica,2020,"4,665"
Japan,2020,"39,990"
Jordan,2020,"4,283"
Kazakhstan,2020,"9,111"
Kenya,2020,"1,879"
Kiribati,2020,"1,515"
Kosovo,2020,"4,368"
Kuwait,2020,"24,809"
Kyrgyzstan,2020,"1,186"
Lao People's Dem. Rep.,2020,"2,623"
Latvia,2020,"17,871"
Lebanon,2020,"9,310"
Lesotho,2020,"1,061"
Liberia,2020,491
Libya,2020,"4,243"
Liechtenstein,2020,"1,80,227"
Lithuania,2020,"20,772"
Luxembourg,2020,"1,17,182"
Madagascar,2020,470
Malawi,2020,615
Malaysia,2020,"10,402"
Maldives,2020,"6,924"
Mali,2020,856
Malta,2020,"33,771"
Marshall Islands,2020,"4,130"
Mauritania,2020,"1,702"
Mauritius,2020,"8,587"
Mexico,2020,"8,326"
Micronesia (Fed. States of),2020,"3,500"
Monaco,2020,"1,73,696"
Mongolia,2020,"4,007"
Montenegro,2020,"7,626"
Montserrat,2020,"13,523"
Morocco,2020,"3,108"
Mozambique,2020,449
Myanmar,2020,"1,292"
Namibia,2020,"4,215"
Nauru,2020,"12,510"
Nepal,2020,"1,135"
Netherlands,2020,"53,334"
New Caledonia,2020,"34,006"
New Zealand,2020,"43,972"
Nicaragua,2020,"1,905"
Niger,2020,568
Nigeria,2020,"2,085"
North Macedonia,2020,"5,886"
Norway,2020,"66,871"
Oman,2020,"12,409"
Pakistan,2020,"1,167"
Palau,2020,"14,567"
Panama,2020,"12,269"
Papua New Guinea,2020,"2,640"
Paraguay,2020,"4,950"
Peru,2020,"6,163"
Philippines,2020,"3,299"
Poland,2020,"15,764"
Portugal,2020,"22,413"
Puerto Rico,2020,"36,052"
Qatar,2020,"50,815"
South Korea,2020,"31,947"
Republic of Moldova,2020,"2,954"
Romania,2020,"12,929"
Russia,2020,"10,166"
Rwanda,2020,798
Saint Kitts and Nevis,2020,"17,434"
Saint Lucia,2020,"8,805"
Saint Vincent & Grenadines,2020,"7,298"
Samoa,2020,"3,890"
San Marino,2020,"45,832"
Sao Tome and Principe,2020,"2,174"
Saudi Arabia,2020,"20,110"
Senegal,2020,"1,458"
Serbia,2020,"7,656"
Seychelles,2020,"10,767"
Sierra Leone,2020,475
Singapore,2020,"58,114"
Sint Maarten (Dutch part),2020,"20,000"
Slovakia,2020,"19,264"
Slovenia,2020,"25,777"
Solomon Islands,2020,"2,251"
Somalia,2020,118
South Africa,2020,"5,094"
South Sudan,2020,"1,421"
Spain,2020,"27,409"
Sri Lanka,2020,"3,768"
State of Palestine,2020,"3,050"
Sudan,2020,"1,415"
Suriname,2020,"7,023"
Sweden,2020,"53,575"
Switzerland,2020,"86,919"
Syrian Arab Republic,2020,890
Tajikistan,2020,838
Thailand,2020,"7,189"
Timor-Leste,2020,"1,443"
Togo,2020,863
Tonga,2020,"4,646"
Trinidad and Tobago,2020,"15,286"
Tunisia,2020,"3,318"
Türkiye,2020,"8,538"
Turkmenistan,2020,"7,104"
Turks and Caicos Islands,2020,"23,881"
Tuvalu,2020,"4,648"
Uganda,2020,846
Ukraine,2020,"3,557"
United Arab Emirates,2020,"36,285"
United Kingdom,2020,"40,718"
United Rep. of Tanzania,2020,"1,115"
United States,2020,"63,123"
Uruguay,2020,"15,438"
Uzbekistan,2020,"1,724"
Vanuatu,2020,"2,783"
Venezuela (Boliv. Rep. of),2020,"3,740"
Vietnam,2020,"2,786"
Yemen,2020,937
Zambia,2020,985
Zanzibar,2020,"1,031"
Zimbabwe,2020,"1,466"
